PID,Social Media Post,Normalized Claim
1,"president realdonaldtrump bidens plan would mean americas seniors have no air conditioners during the summer","Biden’s energy plan would get rid of seniors’ air conditioning, heat and electricity"
2,"important announcement coronavirus last evening dining out with friends one of their uncles who is graduated with a masters degree and who worked in shenzhen hospital guangdong province china sent him the following notes on coronavirus for guidance 1 if you have a runny nose and sputum you have a common cold 2 coronavirus pneumonia is a dry cough with no runny nose 3 this new virus is not heatresistant and will be killed by a temperature of just 2627 degrees it hates the sun 4 if someone sneezes with it it takes about 10 feet before it drops to the ground and is no longer airborne 5 if it drops on a metal surface it will live for at least 12 hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap 6 on fabric it can survive for 612 hours normal laundry detergent will kill it 7 drinking warm water is effective for all viruses try not to drink liquids with ice 8 wash your hands frequently as the virus can only live on your hands for 510 minutes but a lot can happen during that time you can rub your eyes pick your nose unwittingly and so on 9 you should also gargle as a prevention a simple solution of salt in warm water will suffice 10 cannot emphasise enough drink plenty of water the symptoms 1 it will first infect the throat so you will have a sore throat lasting 34 days 2 the virus then blends into a nasal fluid that enters the trachea and then the lungs causing pneumonia this takes about 56 days further 3 with the pneumonia comes high fever and difficulty in breathing 4 the nasal congestion is not like the normal kind you feel like you are drowning it is imperative you then seek immediate attention spread the word please share","If someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne"
3,"heart is delighted to hear","Heart is delighted to hear"
4,"an allowed appeal is one where the initial refusal is overturned and the judge replaces the decision most commonly with a decision to grant a form of status","The vast majority of people coming across the Channel are economic migrants, they are not asylum seekers."
5,"warm water therapy doctor d mensah asare says that the main benefits of warm water are numerous a group of japanese doctors confirmed that warm water is 100 effective in resolving some health problems including headache migraine high blood pressure low blood pressure pain of joints sudden increasing and decreasing of heartbeat epilepsy increasing level of cholesterol cough bodily discomfort golu pain asthma hooping cough blockage of veins diseases related to uterus and urine stomach problems poor appetite also all related diseases to the eyes ear and throat how to use warm water drink 4 glasses of warm water not above 100 degree centigrade temperature on empty stomach first thing in the morning and eat nothing until an hour later you may not be able to make 4 glasses at the beginning but slowly you will the warm water therapy will resolve these health issues within reasonable periods diabetes in 30 days blood pressure in 30 days stomach related issues in 10 days all types of cancer in 9 months blockage of veins in 6 months lack of hunger poor appetite in 10 days uterus and related diseases in 10 days nose ear and throat problems in 10 days women problems in 15 days heart diseases in 30 days headachemigraine in 3 days low blood pressure in 30 days cholesterol in 4 months epilepsy and paralysis continously in 9 months asthma in 4 months no doubt warm water on empty stomach every morning will help immensely in aiding digestion eliminating constipation alleviating pain sheding excess fats improving blood circulation slowing down to a great measure premature aging etc","A widely popular social media post claims that drinking warm water will cure a long list of diseases. We fact checked and found that the claim is Mostly False."
6,"in thane thyrocare lab sealed by gov because they gave fake covid positive reports to people the reason behind this is this lab have connection with private hospitals and after fake positive reports they send that person to that particular hospitals those have three lakhs rupees package for covid patient false positives putting thane citizens at risk please share so it can reach to maximum people","Thyrocare labs are sealed in Thane over false-positive COVID19 testing"
7,"meanwhile in kipsigis a covid patient was nearly buried alive moh has really bungled this pandemic and the best thing they could all do is resign","COVID-19 victim was almost buried alive"
8,"did you know eating 2 onions daily helps increase immunity treat depression fight the common cold and flu being a potent natural antibiotic and it helps you sleep better","Eating 2 slices of onions a day treat depression"
9,"qanon promoters on telegram including qanon john are already speculating baselessly that the elementary school shooting in uvalde texas was a false flag","The shooting at an elementary school in Uvalde County, Texas, was a false flag."
10,"in asia where hundreds of millions of smallpox vaccinations were given from 1967 to 1972 aids remains rare conversely the us is experiencing a major aids epidemic yet smallpox was eradicated there many years ago","According to the Times in 1987, smallpox vaccines triggered the awakening of dormant HIV among recipients, causing the AIDS epidemic."
